"city","population","confirmed","deaths","death_rate","last_date"
"Tabuleiro","3750","28","1","0.0357","2020-12-10"
"Taiobeiras","34132","430","7","0.0163","2020-12-10"
"Taparuba","3110","111","2","0.018","2020-12-10"
"Tapira","4773","71","1","0.0141","2020-12-10"
"TapiraÃ­","1875","33","0","0","2020-12-10"
"TaquaraÃ§u de Minas","4077","74","4","0.0541","2020-12-10"
"Tarumirim","14326","100","8","0.08","2020-12-10"
"Teixeiras","11661","76","1","0.0132","2020-12-10"
"TeÃ³filo Otoni","140592","3609","109","0.0302","2020-12-10"
"TimÃ³teo","89842","3317","94","0.0283","2020-12-10"
"Tiradentes","7981","64","1","0.0156","2020-12-10"
"Tiros","6480","79","2","0.0253","2020-12-10"
"Tocantins","16659","366","6","0.0164","2020-12-10"
"Tocos do Moji","4101","27","1","0.037","2020-12-10"
"Toledo","6258","120","5","0.0417","2020-12-10"
"Tombos","8022","318","2","0.0063","2020-12-10"
"TrÃªs CoraÃ§Ãµes","79482","1193","33","0.0277","2020-12-10"
"TrÃªs Marias","32356","331","14","0.0423","2020-12-10"
"TrÃªs Pontas","56746","1016","18","0.0177","2020-12-10"
"Tumiritinga","6732","127","2","0.0157","2020-12-10"
"Tupaciguara","25327","730","16","0.0219","2020-12-10"
"Turmalina","19964","188","2","0.0106","2020-12-10"
"TurvolÃ¢ndia","5040","21","2","0.0952","2020-12-10"
"Ubaporanga","12471","640","6","0.0094","2020-12-10"
"UbaÃ­","12533","56","1","0.0179","2020-12-10"
"Uberaba","333783","9201","232","0.0252","2020-12-10"
"UberlÃ¢ndia","691305","39548","722","0.0183","2020-12-10"
"UbÃ¡","115552","2944","74","0.0251","2020-12-10"
"Umburatiba","2611","37","0","0","2020-12-10"
"UnaÃ­","84378","3307","60","0.0181","2020-12-10"
"UniÃ£o de Minas","4304","116","2","0.0172","2020-12-10"
"Uruana de Minas","3264","25","0","0","2020-12-10"
"Urucuia","16865","66","3","0.0455","2020-12-10"
"UrucÃ¢nia","10358","209","1","0.0048","2020-12-10"
"Vargem Alegre","6480","186","4","0.0215","2020-12-10"
"Vargem Bonita","2153","27","1","0.037","2020-12-10"
"Vargem Grande do Rio Pardo","5007","37","0","0","2020-12-10"
"Varginha","135558","1761","44","0.025","2020-12-10"
"VarjÃ£o de Minas","7036","97","1","0.0103","2020-12-10"
"VarzelÃ¢ndia","19320","131","5","0.0382","2020-12-10"
"Vazante","20590","810","5","0.0062","2020-12-10"
"VerdelÃ¢ndia","9355","51","1","0.0196","2020-12-10"
"Veredinha","5720","6","0","0","2020-12-10"
"Vermelho Novo","4839","79","1","0.0127","2020-12-10"
"VerÃ­ssimo","3999","49","1","0.0204","2020-12-10"
"Vespasiano","127601","1388","43","0.031","2020-12-10"
"Vieiras","3608","24","1","0.0417","2020-12-10"
"Virgem da Lapa","13752","117","1","0.0085","2020-12-10"
"VirginÃ³polis","10510","59","0","0","2020-12-10"
"VirgolÃ¢ndia","5380","50","1","0.02","2020-12-10"
"VirgÃ­nia","8674","44","1","0.0227","2020-12-10"
"Visconde do Rio Branco","42564","980","22","0.0224","2020-12-10"
"ViÃ§osa","78846","997","4","0.004","2020-12-10"
"Volta Grande","5252","39","1","0.0256","2020-12-10"
"VÃ¡rzea da Palma","39493","661","10","0.0151","2020-12-10"
"Wenceslau Braz","2552","48","0","0","2020-12-10"
"Ãgua Boa","13735","128","1","0.0078","2020-12-10"
"Ãgua Comprida","1999","23","0","0","2020-12-10"
"Ãguas Formosas","19207","341","9","0.0264","2020-12-10"
"Ãguas Vermelhas","13539","79","1","0.0127","2020-12-10"
,"21168791","453364","10499","0.0232","2020-12-10"
