"city","population","confirmed","deaths","death_rate","last_date"
"Bela Vista de Minas","10255","149","1","0.0067","2020-12-10"
"Belmiro Braga","3429","42","3","0.0714","2020-12-10"
"Belo Horizonte","2512070","56106","1701","0.0303","2020-12-10"
"Belo Oriente","26700","933","15","0.0161","2020-12-10"
"Belo Vale","7715","132","3","0.0227","2020-12-10"
"Berilo","11932","9","0","0","2020-12-10"
"Berizal","4735","19","0","0","2020-12-10"
"BertÃ³polis","4604","156","0","0","2020-12-10"
"Betim","439340","8766","261","0.0298","2020-12-10"
"Bias Fortes","3379","41","1","0.0244","2020-12-10"
"Bicas","14494","150","4","0.0267","2020-12-10"
"Biquinhas","2515","28","0","0","2020-12-10"
"Boa EsperanÃ§a","40127","456","20","0.0439","2020-12-10"
"Bocaina de Minas","5090","28","2","0.0714","2020-12-10"
"BocaiÃºva","49979","526","7","0.0133","2020-12-10"
"Bom Despacho","50605","921","21","0.0228","2020-12-10"
"Bom Jardim de Minas","6474","34","0","0","2020-12-10"
"Bom Jesus da Penha","4217","107","1","0.0093","2020-12-10"
"Bom Jesus do Amparo","6083","63","2","0.0317","2020-12-10"
"Bom Jesus do Galho","14935","175","6","0.0343","2020-12-10"
"Bom Repouso","10547","175","5","0.0286","2020-12-10"
"Bom Sucesso","17603","69","1","0.0145","2020-12-10"
"Bonfim","6868","100","2","0.02","2020-12-10"
"BonfinÃ³polis de Minas","5493","173","9","0.052","2020-12-10"
"Bonito de Minas","11230","6","0","0","2020-12-10"
"Borda da Mata","19412","419","18","0.043","2020-12-10"
"Botelhos","14971","152","1","0.0066","2020-12-10"
"Botumirim","6319","7","0","0","2020-12-10"
"BrasilÃ¢ndia de Minas","16538","413","1","0.0024","2020-12-10"
"BrasÃ­lia de Minas","32347","271","5","0.0185","2020-12-10"
"BrazÃ³polis","14459","285","3","0.0105","2020-12-10"
"BraÃºnas","4801","18","2","0.1111","2020-12-10"
"Brumadinho","40103","1407","16","0.0114","2020-12-10"
"BrÃ¡s Pires","4333","26","1","0.0385","2020-12-10"
"Bueno BrandÃ£o","11001","93","6","0.0645","2020-12-10"
"BuenÃ³polis","10365","94","2","0.0213","2020-12-10"
"Bugre","3982","69","1","0.0145","2020-12-10"
"Buritis","24841","456","3","0.0066","2020-12-10"
"Buritizeiro","28056","369","7","0.019","2020-12-10"
"Cabeceira Grande","6949","67","2","0.0299","2020-12-10"
"Cabo Verde","14075","82","1","0.0122","2020-12-10"
"Cachoeira Dourada","2692","19","0","0","2020-12-10"
"Cachoeira da Prata","3603","110","2","0.0182","2020-12-10"
"Cachoeira de Minas","11547","231","3","0.013","2020-12-10"
"Cachoeira de PajeÃº","9412","259","3","0.0116","2020-12-10"
"CaetanÃ³polis","11624","140","3","0.0214","2020-12-10"
"CaetÃ©","44718","594","22","0.037","2020-12-10"
"Caiana","5496","36","2","0.0556","2020-12-10"
"Cajuri","3987","71","0","0","2020-12-10"
"Caldas","14480","195","5","0.0256","2020-12-10"
"Camacho","2901","6","0","0","2020-12-10"
"Camanducaia","21770","780","12","0.0154","2020-12-10"
"Cambuquira","12814","75","3","0.04","2020-12-10"
"CambuÃ­","29551","534","9","0.0169","2020-12-10"
"Campanha","16665","277","7","0.0253","2020-12-10"
"CampanÃ¡rio","3721","26","0","0","2020-12-10"
"Campestre","21055","354","5","0.0141","2020-12-10"
"Campina Verde","19745","166","8","0.0482","2020-12-10"
"Campo Azul","3817","40","0","0","2020-12-10"
"Campo Belo","54029","1326","31","0.0234","2020-12-10"
"Campo Florido","8151","236","0","0","2020-12-10"
"Campo do Meio","11655","166","2","0.012","2020-12-10"
"Campos Altos","15461","180","6","0.0333","2020-12-10"
"Campos Gerais","28774","260","7","0.0269","2020-12-10"
"Cana Verde","5603","94","2","0.0213","2020-12-10"
"CanaÃ£","4563","5","0","0","2020-12-10"
"Candeias","14886","111","3","0.027","2020-12-10"
"Cantagalo","4525","29","0","0","2020-12-10"
"CanÃ¡polis","12150","441","12","0.0272","2020-12-10"
"CaparaÃ³","5438","154","3","0.0195","2020-12-10"
"Capela Nova","4653","16","1","0.0625","2020-12-10"
"Capelinha","37784","273","4","0.0147","2020-12-10"
"Capetinga","6920","68","1","0.0147","2020-12-10"
"Capim Branco","9754","94","2","0.0213","2020-12-10"
"CapinÃ³polis","16173","687","8","0.0116","2020-12-10"
"CapitÃ£o Andrade","5468","146","6","0.0411","2020-12-10"
"CapitÃ£o EnÃ©as","15234","177","3","0.0169","2020-12-10"
"CapitÃ³lio","8632","113","4","0.0354","2020-12-10"
"Caputira","9298","100","2","0.02","2020-12-10"
"CaranaÃ­ba","3183","8","1","0.125","2020-12-10"
"CarandaÃ­","25501","179","3","0.0168","2020-12-10"
"Carangola","33000","845","32","0.0379","2020-12-10"
"Caratinga","92062","2803","76","0.0271","2020-12-10"
"CaraÃ­","23685","191","6","0.0314","2020-12-10"
"Carbonita","9405","26","0","0","2020-12-10"
"CareaÃ§u","6757","172","3","0.0174","2020-12-10"
"Carlos Chagas","18837","488","6","0.0123","2020-12-10"
"Carmo da Cachoeira","12170","79","0","0","2020-12-10"
"Carmo da Mata","11476","60","1","0.0167","2020-12-10"
"Carmo de Minas","14859","183","3","0.0164","2020-12-10"
"Carmo do Cajuru","22478","141","7","0.0496","2020-12-10"
"Carmo do ParanaÃ­ba","30329","407","9","0.0221","2020-12-10"
"Carmo do Rio Claro","21225","111","5","0.045","2020-12-10"
"CarmÃ©sia","2632","12","0","0","2020-12-10"
"CarmÃ³polis de Minas","19355","370","9","0.0243","2020-12-10"
"Carneirinho","10027","202","2","0.0099","2020-12-10"
"Carrancas","4047","31","1","0.0323","2020-12-10"
"Carvalhos","4478","34","0","0","2020-12-10"
"CarvalhÃ³polis","3579","36","1","0.0278","2020-12-10"
"Casa Grande","2257","13","1","0.0769","2020-12-10"
"Cascalho Rico","3075","26","1","0.0385","2020-12-10"
"Cataguases","75123","1189","45","0.0378","2020-12-10"
"Catas Altas","5376","91","2","0.022","2020-12-10"
"Catas Altas da Noruega","3641","21","0","0","2020-12-10"
"Catuji","6311","224","0","0","2020-12-10"
"Catuti","4986","31","1","0.0323","2020-12-10"
"Caxambu","21656","248","6","0.0242","2020-12-10"
"Central de Minas","7032","127","5","0.0394","2020-12-10"
"Centralina","10350","266","7","0.0263","2020-12-10"
"ChalÃ©","5704","269","6","0.0223","2020-12-10"
"Chapada GaÃºcha","13680","82","0","0","2020-12-10"
"Chapada do Norte","15356","5","0","0","2020-12-10"
"Chiador","2687","97","1","0.0103","2020-12-10"
"ChÃ¡cara","3154","54","0","0","2020-12-10"
"CipotÃ¢nea","6787","27","1","0.037","2020-12-10"
"Claraval","4843","58","1","0.0172","2020-12-10"
"Claro dos PoÃ§Ãµes","7551","78","2","0.0256","2020-12-10"
"ClÃ¡udio","28617","525","10","0.019","2020-12-10"
"Coimbra","7556","69","0","0","2020-12-10"
"Coluna","8873","80","1","0.0125","2020-12-10"
"Comendador Gomes","3111","168","1","0.006","2020-12-10"
"Comercinho","6929","39","1","0.0256","2020-12-10"
"ConceiÃ§Ã£o da Aparecida","10292","74","3","0.0405","2020-12-10"
"ConceiÃ§Ã£o da Barra de Minas","3954","61","0","0","2020-12-10"
"ConceiÃ§Ã£o das Alagoas","27893","1057","27","0.0255","2020-12-10"
"ConceiÃ§Ã£o das Pedras","2812","31","1","0.0323","2020-12-10"
"ConceiÃ§Ã£o de Ipanema","4574","65","1","0.0154","2020-12-10"
"ConceiÃ§Ã£o do Mato Dentro","17842","818","2","0.0024","2020-12-10"
"ConceiÃ§Ã£o do ParÃ¡","5507","75","3","0.04","2020-12-10"
"ConceiÃ§Ã£o do Rio Verde","13638","75","1","0.0133","2020-12-10"
"ConceiÃ§Ã£o dos Ouros","11638","146","6","0.0411","2020-12-10"
"Confins","6730","102","1","0.0098","2020-12-10"
"Congonhal","11950","218","4","0.0183","2020-12-10"
"Congonhas","54762","1847","17","0.0092","2020-12-10"
"Congonhas do Norte","5045","58","0","0","2020-12-10"
"Conquista","6939","216","5","0.0231","2020-12-10"
"Conselheiro Lafaiete","128589","1885","21","0.0111","2020-12-10"
"Conselheiro Pena","22921","440","4","0.0091","2020-12-10"
"ConsolaÃ§Ã£o","1783","10","0","0","2020-12-10"
"Contagem","663855","11846","465","0.0393","2020-12-10"
"Coqueiral","9159","60","1","0.0167","2020-12-10"
"CoraÃ§Ã£o de Jesus","26602","189","2","0.0106","2020-12-10"
"Cordisburgo","8890","82","2","0.0244","2020-12-10"
"CordislÃ¢ndia","3538","59","0","0","2020-12-10"
"Corinto","23731","388","7","0.018","2020-12-10"
"Coroaci","9991","206","2","0.0097","2020-12-10"
"Coromandel","27974","304","6","0.0197","2020-12-10"
"Coronel Fabriciano","109855","5083","101","0.0199","2020-12-10"
"Coronel Murta","9222","11","0","0","2020-12-10"
"Coronel Pacheco","3086","74","3","0.0405","2020-12-10"
"Coronel Xavier Chaves","3434","34","0","0","2020-12-10"
"Couto de MagalhÃ£es de Minas","4410","17","0","0","2020-12-10"
"Cristais","12798","189","3","0.0159","2020-12-10"
"Cristiano Otoni","5150","53","1","0.0189","2020-12-10"
"Cristina","10242","46","2","0.0435","2020-12-10"
"CristÃ¡lia","5971","50","0","0","2020-12-10"
"CrisÃ³lita","6704","50","1","0.02","2020-12-10"
"CrucilÃ¢ndia","5034","116","2","0.0172","2020-12-10"
"Cruzeiro da Fortaleza","3626","9","0","0","2020-12-10"
"CruzÃ­lia","15417","170","2","0.0118","2020-12-10"
"Cuparaque","4982","101","2","0.0198","2020-12-10"
"Curral de Dentro","7729","63","2","0.0317","2020-12-10"
"Curvelo","80129","1301","33","0.0254","2020-12-10"
"CÃ¡ssia","17740","223","6","0.0269","2020-12-10"
"CÃ³rrego Danta","3215","15","0","0","2020-12-10"
"CÃ³rrego Fundo","6337","86","1","0.0116","2020-12-10"
"CÃ³rrego Novo","2771","29","4","0.1379","2020-12-10"
"CÃ³rrego do Bom Jesus","3704","79","3","0.038","2020-12-10"
"CÃ´nego Marinho","7642","9","1","0.1111","2020-12-10"
"Datas","5410","45","1","0.0222","2020-12-10"
"Delfim Moreira","8025","74","4","0.0541","2020-12-10"
"DelfinÃ³polis","7114","35","1","0.0286","2020-12-10"
"Delta","10533","499","5","0.01","2020-12-10"
"Descoberto","5013","123","1","0.0081","2020-12-10"
"Desterro de Entre Rios","7243","47","1","0.0213","2020-12-10"
"Desterro do Melo","2901","9","0","0","2020-12-10"
"Diamantina","47723","247","6","0.0243","2020-12-10"
"Diogo de Vasconcelos","3802","23","0","0","2020-12-10"
"DionÃ­sio","7729","184","0","0","2020-12-10"
"Divino","19931","175","6","0.0343","2020-12-10"
"Divino das Laranjeiras","4979","128","2","0.0156","2020-12-10"
"DivinolÃ¢ndia de Minas","7571","19","1","0.0526","2020-12-10"
"DivinÃ©sia","3417","70","2","0.0286","2020-12-10"
"DivinÃ³polis","238230","2814","80","0.0284","2020-12-10"
"Divisa Alegre","6786","60","1","0.0167","2020-12-10"
"Divisa Nova","6011","71","2","0.0282","2020-12-10"
